Data Table for Daily Death Trends - The United States,,,,
Date generated: Wed Nov 03 2021 10:08:54 GMT-0400 (Eastern Daylight Time),,,,
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Apr 11 2020,2224,2093,0
United States,Apr 10 2020,2206,2000,0
United States,Apr  9 2020,2229,1883,0
United States,Apr  8 2020,2256,1756,0
United States,Apr  7 2020,2105,1595,0
United States,Apr  6 2020,1727,1437,0
United States,Apr  5 2020,1909,1285,0
United States,Apr  4 2020,1571,1111,0
United States,Apr  3 2020,1387,965,0
United States,Apr  2 2020,1338,838,0
United States,Apr  1 2020,1132,697,0
United States,Mar 31 2020,1000,579,0
United States,Mar 30 2020,659,468,0
United States,Mar 29 2020,693,398,0
United States,Mar 28 2020,552,318,0
United States,Mar 27 2020,498,255,0
United States,Mar 26 2020,350,199,0
United States,Mar 25 2020,305,159,0
United States,Mar 24 2020,222,125,0
United States,Mar 23 2020,170,97,0
United States,Mar 22 2020,130,76,0
United States,Mar 21 2020,114,60,0
United States,Mar 20 2020,105,46,0
United States,Mar 19 2020,67,32,0
United States,Mar 18 2020,68,24,0
United States,Mar 17 2020,30,16,0
United States,Mar 16 2020,21,13,0
United States,Mar 15 2020,20,10,0
United States,Mar 14 2020,13,8,0
United States,Mar 13 2020,11,7,0
United States,Mar 12 2020,7,6,0
United States,Mar 11 2020,12,5,0
United States,Mar 10 2020,7,4,0
United States,Mar  9 2020,4,3,0
United States,Mar  8 2020,4,3,0
United States,Mar  7 2020,5,3,0
United States,Mar  6 2020,3,2,0
United States,Mar  5 2020,3,2,0
United States,Mar  4 2020,2,1,0
United States,Mar  3 2020,3,1,0
United States,Mar  2 2020,6,1,0
United States,Mar  1 2020,0,0,0
United States,Feb 29 2020,1,0,0
United States,Feb 28 2020,0,0,0
United States,Feb 27 2020,1,0,0
United States,Feb 26 2020,0,0,0
United States,Feb 25 2020,0,0,0
United States,Feb 24 2020,0,0,0
United States,Feb 23 2020,0,0,0
United States,Feb 22 2020,0,0,0
United States,Feb 21 2020,0,0,0
United States,Feb 20 2020,0,0,0
United States,Feb 19 2020,0,0,0
United States,Feb 18 2020,0,0,0
United States,Feb 17 2020,0,0,0
United States,Feb 16 2020,0,0,0
United States,Feb 15 2020,0,0,0
United States,Feb 14 2020,0,0,0
United States,Feb 13 2020,0,0,0
United States,Feb 12 2020,0,0,0
United States,Feb 11 2020,0,0,0
United States,Feb 10 2020,0,0,0
United States,Feb  9 2020,0,0,0
United States,Feb  8 2020,0,0,0
United States,Feb  7 2020,0,0,0
United States,Feb  6 2020,0,0,0
United States,Feb  5 2020,0,0,0
United States,Feb  4 2020,0,0,0
United States,Feb  3 2020,0,0,0
United States,Feb  2 2020,0,0,0
United States,Feb  1 2020,0,0,0
United States,Jan 31 2020,0,0,0
United States,Jan 30 2020,0,0,0
United States,Jan 29 2020,0,0,0
United States,Jan 28 2020,0,0,0
United States,Jan 27 2020,0,0,0
United States,Jan 26 2020,0,0,0
United States,Jan 25 2020,0,0,0
United States,Jan 24 2020,0,0,0
United States,Jan 23 2020,0,0,0
